Plant,BC,BS,Rep,Root_fresh,Shoot_fresh,Height (cm),Number_StemsLeaves4cm,Notes,Root_lyoph,Shoot_lyoph,CIP_R,CIP_S,TCC_R,TCC_S,TCS_R,TCS_S,pH
Carrot,0,0,1,15.5,19.22,29.5,7,,12.26,13.49,NA,NA,NA,NA,NA,NA,5.24
Carrot,0,0,2,16.43,14.4,18.7,5,wilted,12.33,12.69,NA,NA,NA,NA,NA,NA,5.08
Carrot,0,0,3,16.65,15.81,21.6,7,,12.5,12.71,NA,NA,NA,NA,NA,NA,5.09
Carrot,0,0,4,13.18,15.5,18.6,6,,11.97,12.42,NA,NA,NA,NA,NA,NA,NA
Carrot,0,0,5,20.73,18.88,24.6,7,6,12.96,13.13,NA,NA,NA,NA,NA,NA,NA
Carrot,10,0,1,19.17,13.93,19.7,6,wilted,12.7,12.82,NA,NA,NA,NA,NA,NA,5.41
Carrot,10,0,2,14.78,16.13,24.1,6,,12.25,13.11,NA,NA,NA,NA,NA,NA,5.48
Carrot,10,0,3,23.09,17.85,24.9,6,,13.29,13.08,NA,NA,NA,NA,NA,NA,5.39
Carrot,10,0,4,19.9,15.93,20.1,6,,12.85,13.42,NA,NA,NA,NA,NA,NA,NA
Carrot,10,0,5,15.29,14.43,22.7,5,wilted,12.21,13.13,NA,NA,NA,NA,NA,NA,NA
Carrot,100,0,1,19.54,14.81,18.9,7,wilted,12.76,13.16,NA,NA,NA,NA,NA,NA,7.9
Carrot,100,0,2,19.7,19.07,24,7,,12.9,13.35,NA,NA,NA,NA,NA,NA,7.78
Carrot,100,0,3,14.4,14.46,21.5,6,wilted,12.11,13.22,NA,NA,NA,NA,NA,NA,7.5
Carrot,100,0,4,20.1,17.76,29,7,,12.76,12.84,NA,NA,NA,NA,NA,NA,NA
Carrot,100,0,5,24.71,18.78,20.5,8,,13.46,13.02,NA,NA,NA,NA,NA,NA,NA
Carrot,0,20,1,16.66,19.26,26.5,6,,12.54,13.43,0.201515208,0.419786594,2.205883043,0.803269368,2.123096981,8.091381987,7.19
Carrot,0,20,2,24.54,17.01,20.1,6,,13.39,13.09,0.140208118,0.56745335,2.886704657,0.977728587,2.543139421,9.274661157,7.3
Carrot,0,20,3,23.27,19.1,23.1,6,,13.29,13.31,0.14737375,0.723950075,3.288096036,1.0730553,1.549361926,8.516910348,7.36
Carrot,0,20,4,17.1,17.36,24,6,,12.48,12.85,NA,NA,NA,NA,NA,NA,NA
Carrot,0,20,5,16.36,16.69,21.8,5,,12.3,12.71,NA,NA,NA,NA,NA,NA,NA
Carrot,10,20,1,19.23,20.17,25.5,7,,12.99,13.58,0.178109309,0.323736257,3.194116691,0.543485381,0.5430321,11.34544333,7.32
Carrot,10,20,2,28.73,16.79,21.2,7,,14.12,13.1,0.064992561,0.307835622,2.755280974,0.652617525,0.996585774,17.74766517,7.38
Carrot,10,20,3,15.73,20.95,23.4,8,,12.2,13.4,0.168257972,0.255514806,3.090798704,0.954098823,0.531686783,15,7.37
Carrot,10,20,4,25.43,20.58,26.2,7,,13.48,13.42,NA,NA,NA,NA,NA,NA,NA
Carrot,10,20,5,21.87,18.19,24.6,6,,13.24,13.14,NA,NA,NA,NA,NA,NA,NA
Carrot,100,20,1,17.7,20.61,31.2,6,,12.56,13.3,0.12624456,0.559064403,2.260844194,0.550866918,0.283240031,9.237239414,7.64
Carrot,100,20,2,21.69,18.29,21.1,6,,13.11,13.08,0.123955047,0.407781483,2.356630078,0.333365213,0.274553602,7.870833489,7.66
Carrot,100,20,3,20.05,17.48,20.2,6,,13.03,13.11,0.09656436,0.367123792,2.246300671,0.427147491,0.971967452,10.32180297,7.76
Carrot,100,20,4,19.02,20.34,26.4,7,,12.86,13.48,NA,NA,NA,NA,NA,NA,NA
Carrot,100,20,5,17.13,18.45,25.4,7,,12.69,13.58,NA,NA,NA,NA,NA,NA,NA
Lettuce,0,0,1,18.66,39.15,,16,col,12.91,15.4,NA,NA,NA,NA,NA,NA,5.24
Lettuce,0,0,2,16.07,36.03,,15,col,12.4,15,NA,NA,NA,NA,NA,NA,5.08
Lettuce,0,0,3,15.95,37.2,,14,col,12.4,14.65,NA,NA,NA,NA,NA,NA,5.09
Lettuce,0,0,4,19.17,39.17,,17,col,12.81,15.46,NA,NA,NA,NA,NA,NA,NA
Lettuce,0,0,5,16.85,36.27,,16,col,12.65,14.93,NA,NA,NA,NA,NA,NA,NA
Lettuce,10,0,1,21.98,50.53,,20,,13.33,16.36,NA,NA,NA,NA,NA,NA,5.41
Lettuce,10,0,2,20.9,51.18,,20,,13.28,16.6,NA,NA,NA,NA,NA,NA,5.48
Lettuce,10,0,3,20.1,43.55,,16,,13.11,16.05,NA,NA,NA,NA,NA,NA,5.39
Lettuce,10,0,4,20.45,44.81,,19,,13.23,15.96,NA,NA,NA,NA,NA,NA,NA
Lettuce,10,0,5,20.28,42.91,,18,chlorosis OL,13.08,15.77,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,0,1,22.28,45.45,,20,COL,13.38,15.89,NA,NA,NA,NA,NA,NA,7.9
Lettuce,100,0,2,21.93,38.46,,17,"chlorotic, SN",13.09,15.63,NA,NA,NA,NA,NA,NA,7.78
Lettuce,100,0,3,21.09,41.56,,16,"COL, SN",13.16,15.76,NA,NA,NA,NA,NA,NA,7.5
Lettuce,100,0,4,20.36,43.25,,19,"chlorotic, older leaves SN",13,15.71,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,0,5,23.56,48.33,,21,slightly chlorotic,13.55,16.58,NA,NA,NA,NA,NA,NA,NA
Lettuce,0,20,1,21.32,55.73,,23,"EBOL, 3D",12.69,16.1,0.696090306,0.874294178,3.740658974,1.509692902,0.006030891,0.018987649,7.19
Lettuce,0,20,2,19.05,45.29,,18,"EBL, 3D",12.52,15.19,0.647352439,0.653151252,3.97902265,1.291008043,0.012778031,0.013616354,7.3
Lettuce,0,20,3,20.08,57.83,,22,"EBL, 3D",12.56,13.76,0.953072245,0.713336662,4.121560048,1.316051429,0.016623264,0.012963193,7.36
Lettuce,0,20,4,18.91,52.15,,20,"EBOL, 2D",12.53,15.77,NA,NA,NA,NA,NA,NA,NA
Lettuce,0,20,5,19.13,54.06,,22,"EBL, 2D",12.56,15.91,NA,NA,NA,NA,NA,NA,NA
Lettuce,10,20,1,19.22,57.41,,21,"EBL, 2D",12.63,15.9,0.842664506,0.612994821,3.475897675,0.92055511,0.006824194,0.026187938,7.32
Lettuce,10,20,2,19.05,52.6,,23,"EBOL, 3D",12.53,15.84,0.647121794,0.654819327,3.388420466,0.968132273,0.012706302,0.024759286,7.38
Lettuce,10,20,3,20.64,49.06,,23,"EBOL, 4D",13.05,16.12,0.768319836,0.340322312,3.418836847,0.827168066,0.016997329,0.001372852,7.37
Lettuce,10,20,4,20.48,46.72,,21,"EBOL, 4D",12.87,15.9,NA,NA,NA,NA,NA,NA,NA
Lettuce,10,20,5,19.16,45.71,,18,"EBOL, 4D",12.49,15.43,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,20,1,21.72,51.65,,22,"EBOL, 2D",13.05,15.98,0.728664346,0.207124202,2.02331373,0.827509807,0.011048169,0,7.64
Lettuce,100,20,2,23.44,52.9,,21,"EBOL, 2D",13.13,16.2,0.840232366,0.195864991,2.155737898,0.551013289,0.010733806,0.007944719,7.66
Lettuce,100,20,3,24.72,60.79,,25,"EBOL, 4D",13.19,17.19,0.812967402,0.163705153,2.129295209,0.90557102,0.007833505,0.005831565,7.76
Lettuce,100,20,4,22.63,49.34,,20,"edge burning on older leaves, 2D",13.01,15.94,NA,NA,NA,NA,NA,NA,NA
Lettuce,100,20,5,19,49.36,,20,"EBOL, 2D",12.6,15.8,NA,NA,NA,NA,NA,NA,NA
